,player,team,club,age_years,age_float,age,minutes_90s,tackles,tackles_won,succesful_tackles_pct,tackles_def_3rd,tackles_mid_3rd,dribble_tackles,dribbled_past,dribbles_vs,dribble_tackles_pct,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_pen_area_pct,touches_def_3rd,touches_mid_3rd,miscontrols,dispossessed,passes_received,passes_completed,passes,passes_pct,passes_progressive_distance,assisted_shots,passes_into_final_third,progressive_passes,passes_dead,through_balls,passes_switches,passes_blocked,cards_yellow,cards_red,fouls,fouled,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,sca_fouled,sca_defense,gca_fouled,gca_defense
0,Abdelkarim Hassan,Qatar,Al Sadd SC,29,29.3068,29-112,3.0,7.0,3,0.4286,5.0,2.0,3.0,1.0,4.0,75.0,3.0,1.0,2.0,1,8.0,5.0,0.0,193.0,15.0,0.0777,83.0,95.0,2.0,0.0,138.0,122.0,161.0,75.8,813.0,1.0,13.0,8.0,13.0,0.0,10.0,8.0,0,0,1,4,0.0,0,11.0,3.0,1.0,75.0,0.0,0.0,0.0,0.0
1,Abdou Diallo,Senegal,RB Leipzig,26,26.6247,26-228,3.7,2.0,2,1.0,2.0,0.0,2.0,0.0,2.0,100.0,1.0,1.0,0.0,1,3.0,10.0,0.0,210.0,19.0,0.0905,98.0,98.0,2.0,2.0,138.0,139.0,186.0,74.7,1121.0,1.0,10.0,8.0,20.0,0.0,4.0,1.0,0,0,3,0,0.0,0,17.0,7.0,6.0,53.8,0.0,0.0,0.0,0.0
2,Abdulelah Al-Amri,Saudi Arabia,Al-Nassr,25,25.9233,25-337,2.0,1.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,4,5.0,10.0,0.0,129.0,12.0,0.093,58.0,65.0,1.0,0.0,63.0,74.0,104.0,71.2,951.0,0.0,13.0,11.0,5.0,0.0,6.0,1.0,2,0,3,3,0.0,0,15.0,10.0,4.0,71.4,0.0,0.0,0.0,0.0
3,Abdullah Madu,Saudi Arabia,Al-Nassr,29,29.4274,29-156,0.5,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,0,1.0,2.0,0.0,19.0,4.0,0.2105,12.0,8.0,0.0,0.0,6.0,5.0,13.0,38.5,64.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,1,0,0.0,0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
4,Abolfazl Jalali,IR Iran,Esteghlal,24,24.4795,24-175,0.2,0.0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,1.0,0.0,34.0,1.0,0.0294,5.0,18.0,0.0,1.0,18.0,20.0,29.0,69.0,51.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,1,0,1,4,0.0,0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0
5,Achraf Dari,Morocco,Brest,23,23.6192,23-226,2.1,1.0,0,0.0,1.0,0.0,1.0,2.0,3.0,33.3,7.0,4.0,3.0,5,6.0,9.0,0.0,139.0,24.0,0.1727,84.0,51.0,0.0,1.0,85.0,99.0,111.0,89.2,752.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,1,0,2,1,0.0,0,10.0,5.0,5.0,50.0,0.0,0.0,0.0,0.0
6,Achraf Hakimi,Morocco,Paris S-G,24,24.1205,24-044,7.0,26.0,17,0.6538,15.0,10.0,17.0,11.0,28.0,60.7,7.0,1.0,6.0,9,35.0,12.0,0.0,478.0,25.0,0.0523,185.0,190.0,17.0,8.0,280.0,312.0,382.0,81.7,1792.0,6.0,14.0,10.0,73.0,1.0,5.0,8.0,0,0,6,13,0.0,0,46.0,5.0,8.0,38.5,1.0,0.0,0.0,0.0
7,Alejandro Balde,Spain,Barcelona,19,19.1671,19-061,1.4,6.0,6,1.0,2.0,2.0,2.0,0.0,2.0,100.0,2.0,0.0,2.0,0,6.0,2.0,0.0,135.0,0.0,0.0,17.0,86.0,2.0,3.0,109.0,112.0,123.0,91.1,293.0,0.0,5.0,4.0,12.0,1.0,0.0,0.0,0,0,2,1,0.0,0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
8,Alex Sandro,Brazil,Juventus,31,31.8932,31-326,2.1,8.0,3,0.375,6.0,2.0,2.0,0.0,2.0,100.0,1.0,0.0,1.0,3,11.0,9.0,0.0,193.0,7.0,0.0363,45.0,111.0,1.0,0.0,121.0,150.0,169.0,88.8,680.0,1.0,11.0,11.0,24.0,0.0,0.0,2.0,0,0,3,2,0.0,0,16.0,3.0,1.0,75.0,0.0,0.0,0.0,0.0
9,Alex Telles,Brazil,Sevilla,30,30.0082,30-003,0.7,2.0,2,1.0,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0,2.0,1.0,0.0,46.0,0.0,0.0,12.0,21.0,1.0,0.0,32.0,33.0,42.0,78.6,135.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0,0,1,0,0.0,0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
